Time 					Temperature (C): 					Meters: 					
2009:16:22:36:42					223,62879					-17,75074					
2009:16:22:36:42					373,54072					-17,73823					
2009:16:22:36:42					556,47121					-17,67177					
2009:16:22:36:43					920,28550					-17,65794					
2009:16:22:36:43					1306,68899					-17,56496					
2009:16:22:36:43					1413,87784					-17,50547					
2009:16:22:36:43					1779,17682					-17,45388					
2009:16:22:36:44					1919,52121					-17,43048					
2009:16:22:36:44					2334,03353					-17,42905					
2009:16:22:36:44					2925,76837					-17,32685					
2009:16:22:36:44					3926,16632					-17,26963					
2009:16:22:36:45					4255,23734					-17,25793					
2009:16:22:36:45					4376,21971					-16,92694					
2009:16:22:36:45					4423,53635					-16,91994					
2009:16:22:36:45					4572,02271					-16,90613					
2009:16:22:36:46					4652,07169					-16,85007					
2009:16:22:36:46					4720,91609					-16,74306					
2009:16:22:36:46					4803,84863					-16,72036					
2009:16:22:36:46					4811,26246					-16,59831					
2009:16:22:36:47					4949,56926					-16,29128					
2009:16:22:36:47					5180,08215					-16,09345					
2009:16:22:36:47					5284,61269					-15,83657					
2009:16:22:36:48					5484,89560					-15,74205					
2009:16:22:36:48					6327,71437					-15,72525					
2009:16:22:36:48					6675,92243					-15,66602					
2009:16:22:36:48					6825,31858					-15,57380					
2009:16:22:36:49					7283,83831					-15,52822					
2009:16:22:36:49					7337,71134					-15,22787					
2009:16:22:36:49					7347,40123					-15,16743					
2009:16:22:36:49					7358,90243					-14,98146					
2009:16:22:36:50					7436,80078					-14,92179					
2009:16:22:36:50					8101,89596					-14,87801					
2009:16:22:36:50					8377,23983					-14,84435					
2009:16:22:36:50					8631,16228					-14,73154					
2009:16:22:36:51					8897,30153					-14,68522					
2009:16:22:36:51					8921,57932					-14,34609					
2009:16:22:36:51					9291,63813					-14,34052					
2009:16:22:36:51					9883,76225					-14,23964					
2009:16:22:36:52					10195,26377					-14,15618					
2009:16:22:36:52					11137,26596					-14,10891					
2009:16:22:36:52					11183,37051					-14,09622					
2009:16:22:36:52					11995,54227					-13,92267					
2009:16:22:36:53					12715,26287					-13,79190					
2009:16:22:36:53					12898,09915					-13,78157					
2009:16:22:36:53					13881,95733					-13,68213					
2009:16:22:36:53					14316,46776					-13,58896					
2009:16:22:36:54					14336,45427					-13,39645					
2009:16:22:36:54					14398,36271					-13,27822					
2009:16:22:36:54					14533,82802					-13,11471					
2009:16:22:36:54					14693,47955					-12,75984					
2009:16:22:36:55					14766,44344					-12,75632					
2009:16:22:36:55					15308,06929					-12,69978					
2009:16:22:36:55					15502,39722					-12,68362					
2009:16:22:36:55					15737,67813					-12,62348					
2009:16:22:36:56					15784,41408					-12,46087					
2009:16:22:36:56					16063,17886					-12,37238					
2009:16:22:36:56					16173,10004					-12,23227					
2009:16:22:36:56					16382,71663					-12,13109					
2009:16:22:36:57					16863,50365					-11,80854					
2009:16:22:36:57					17267,97638					-11,65353					
2009:16:22:36:57					18004,19857					-11,28879					
2009:16:22:36:57					18059,97498					-11,17100					
2009:16:22:36:58					18289,49945					-11,15670					
2009:16:22:36:58					18958,83879					-11,12129					
2009:16:22:36:58					19375,20234					-10,78904					
2009:16:22:36:58					20925,07463					-10,78548					
2009:16:22:36:59					21342,65877					-10,78433					
2009:16:22:36:59					21547,63787					-10,74461					
2009:16:22:36:59					22179,70656					-10,59299					
2009:16:22:36:59					22307,66937					-10,47517					
2009:16:22:37:00					22721,92496					-10,34068					
2009:16:22:37:00					22855,37544					-10,27682					
2009:16:22:37:00					23246,65676					-10,24821					
2009:16:22:37:00					23281,60198					-10,24319					
2009:16:22:37:01					23326,12951					-10,07468					
2009:16:22:37:01					23466,62997					-10,07018					
2009:16:22:37:01					23581,36324					-10,02429					
2009:16:22:37:01					23681,34551					-9,99400					
2009:16:22:37:02					23823,99979					-9,69587					
2009:16:22:37:02					23975,38865					-9,69219					
2009:16:22:37:02					24039,01552					-9,66179					
2009:16:22:37:02					24244,85054					-9,63994					
2009:16:22:37:03					24983,64225					-9,52843					
2009:16:22:37:03					26682,62007					-9,51182					
2009:16:22:37:03					27207,73607					-9,31632					
2009:16:22:37:03					27248,09694					-9,18619					
2009:16:22:37:04					27509,16912					-9,04650					
2009:16:22:37:04					27792,72288					-9,03386					
2009:16:22:37:04					28210,62906					-8,66834					
2009:16:22:37:04					28247,04665					-8,58181					
2009:16:22:37:05					28357,60471					-8,54611					
2009:16:22:37:05					28498,46092					-8,38619					
2009:16:22:37:05					28648,71381					-8,25398					
2009:16:22:37:05					29101,13586					-8,19827					
2009:16:22:37:06					29282,36088					-7,53788					
2009:16:22:37:06					29367,35268					-7,51670					
2009:16:22:37:06					29820,18016					-7,37105					
2009:16:22:37:06					30010,93068					-7,27535					
2009:16:22:37:07					30167,38039					-7,06115					
2009:16:22:37:07					30307,47553					-6,82052					
